time_s,phase,joint_position_rad_1,joint_position_rad_2,joint_position_rad_3,joint_position_rad_4,joint_position_rad_5,joint_position_rad_6,joint_velocity_rad_s_1,joint_velocity_rad_s_2,joint_velocity_rad_s_3,joint_velocity_rad_s_4,joint_velocity_rad_s_5,joint_velocity_rad_s_6,joint_acceleration_rad_s2_1,joint_acceleration_rad_s2_2,joint_acceleration_rad_s2_3,joint_acceleration_rad_s2_4,joint_acceleration_rad_s2_5,joint_acceleration_rad_s2_6
0.0,throw,-4.8674e-05,0.108124062,-0.599756365,-0.000109202,-0.848685707,0.9626949850000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,throw,-4.867076170728395e-05,0.10811422866666667,-0.5997661983333332,-0.00010919467917560493,-0.8486955403333333,0.9626949812135779,4.829992901234587e-07,-0.001466666666666673,-0.001466666666666673,1.0919196913580288e-06,-0.001466666666666673,-5.647547839522884e-07,4.775100617283969e-05,-0.1450000000000006,-0.1450000000000006,0.00010795117530864236,-0.1450000000000006,-5.583377160509962e-05
0.04,throw,-4.8648532796049385e-05,0.10804672866666667,-0.5998336983333332,-0.00010914442604009877,-0.8487630403333333,0.9626949552219892,1.8880834567901306e-06,-0.005733333333333357,-0.005733333333333357,4.268415209876558e-06,-0.005733333333333357,-2.2076824691420338e-06,9.220849382716081e-05,-0.280000000000001,-0.280000000000001,0.00020845758024691426,-0.280000000000001,-0.00010781728395090659
0.06,throw,-4.858953027e-05,0.107867562,-0.600012865,-0.000109011038032,-0.848942207,0.9626948862318301,4.1493825000000145e-06,-0.012600000000000049,-0.012600000000000049,9.38059100000003e-06,-0.012600000000000049,-4.851777500013037e-06,0.00013337250000000042,-0.40500000000000136,-0.40500000000000136,0.00030151920000000087,-0.40500000000000136,-0.00015595050000038625
0.08,throw,-4.84772885254321e-05,0.10752672866666667,-0.6003536983333333,-0.00010875729050390122,-0.8492830403333333,0.9626947549898154,7.201027160493852e-06,-0.021866666666666746,-0.021866666666666746,1.6279551209876596e-05,-0.021866666666666746,-8.420033580268405e-06,0.00017124306172839555,-0.5200000000000016,-0.5200000000000016,0.0003871360197530874,-0.5200000000000016,-0.00020023338271650396
0.1,throw,-4.829665933641976e-05,0.10697822866666667,-0.6009021983333332,-0.00010834893672839506,-0.8498315403333333,0.9626945437827933,1.0977148919753125e-05,-0.03333333333333345,-0.03333333333333345,2.4816399691358103e-05,-0.03333333333333345,-1.2835443672870552e-05,0.0002058202160493833,-0.6250000000000018,-0.6250000000000018,0.0004653080246913592,-0.6250000000000018,-0.00024066589506222512
0.12,throw,-4.8033811839999996e-05,0.106180062,-0.601700365,-0.000107754707904,-0.8506297070000001,0.96269423643776,1.5411880000000047e-05,-0.04680000000000015,-0.04680000000000015,3.4842240000000094e-05,-0.04680000000000015,-1.80210000000412e-05,0.00023710400000000051,-0.7200000000000016,-0.7200000000000016,0.0005360352000000011,-0.7200000000000016,-0.00027724800000051495
0.14,throw,-4.7676232521358025e-05,0.10509422866666666,-0.6027861983333334,-0.00010694631316108642,-0.8517155403333334,0.962693818321875,2.043935336419759e-05,-0.062066666666666846,-0.062066666666666846,4.6208175395061846e-05,-0.062066666666666846,-2.3899694043261375e-05,0.0002650944506172845,-0.8050000000000017,-0.8050000000000017,0.0005993175308641986,-0.8050000000000017,-0.00030997966049433896
0.16,throw,-4.721272519901235e-05,0.10368672866666666,-0.6041936983333333,-0.00010589843956780245,-0.8531230403333333,0.9626932763424751,2.5993702716049453e-05,-0.07893333333333355,-0.07893333333333355,5.876530883950631e-05,-0.07893333333333355,-3.039451654327142e-05,0.0002897916049382721,-0.8800000000000014,-0.8800000000000014,0.0006551550024691367,-0.8800000000000014,-0.0003388608395066623
0.18,throw,-4.663341101e-05,0.10192756199999999,-0.605952865,-0.00010458875213599999,-0.8548822070000001,0.9626925989470901,3.2009062500000073e-05,-0.09720000000000024,-0.09720000000000024,7.236474300000015e-05,-0.09720000000000024,-3.742845750007097e-05,0.0003111955000000005,-0.9450000000000014,-0.9450000000000014,0.000703547600000001,-0.9450000000000014,-0.00036389150000045047
